codigo,descripcion,rubro,tipo,presentacion,costo_presentacion
,TE 3/4x1/8,Metalúrgica y Herreria,Tee,Barra de 6 m.,"16.292,19"
,TE 7/8X1/8,Metalúrgica y Herreria,Tee,Barra de 6 m.,"18.340,46"
,TE 1X1/8,Metalúrgica y Herreria,Tee,Barra de 6 m.,"21.063,46"
,TE 1.1/4X1/8,Metalúrgica y Herreria,Tee,Barra de 6 m.,"24.082,01"
,TE 1.1/4X3/16,Metalúrgica y Herreria,Tee,Barra de 6 m.,"36.490,26"
,TE 1.1/2X1/8,Metalúrgica y Herreria,Tee,Barra de 6 m.,"30.462,84"
,TE 1.1/2X3/16,Metalúrgica y Herreria,Tee,Barra de 6 m.,"41.713,26"
,TE 2X3/16,Metalúrgica y Herreria,Tee,Barra de 6 m.,"70.367,00"
,TE 2X1/4,Metalúrgica y Herreria,Tee,Barra de 6 m.,"87.535,44"
,ANGULOS 1/2X1/8,Metalúrgica y Herreria,Angulos,Barra de 6 m.,"7.470,40"
,ANGULOS 5/8X1/8,Metalúrgica y Herreria,Angulos,Barra de 6 m.,"9.985,95"
,ANGULOS 3/4X1/8,Metalúrgica y Herreria,Angulos,Barra de 6 m.,"11.655,85"
,ANGULOS 7/8X1/8,Metalúrgica y Herreria,Angulos,Barra de 6 m.,"14.067,41"
,ANGULOS 1X1/8,Metalúrgica y Herreria,Angulos,Barra de 6 m.,"15.153,88"
,ANGULOS 1X3/16,Metalúrgica y Herreria,Angulos,Barra de 6 m.,"20.442,73"
,ANGULOS 1.1/4X1/8,Metalúrgica y Herreria,Angulos,Barra de 6 m.,"18.184,65"
,ANGULOS 1.1/4X3/16,Metalúrgica y Herreria,Angulos,Barra de 6 m.,"26.465,84"
,ANGULOS 1.1/2X1/8,Metalúrgica y Herreria,Angulos,Barra de 6 m.,"22.440,82"
,ANGULOS 1.1/2X3/16,Metalúrgica y Herreria,Angulos,Barra de 6 m.,"32.096,87"
,ANGULOS 1.1/2X1/4,Metalúrgica y Herreria,Angulos,Barra de 6 m.,"40.303,16"
,ANGULOS 1.3/4X1/8,Metalúrgica y Herreria,Angulos,Barra de 6 m.,"27.466,19"
,ANGULOS 1.3/4X3/16,Metalúrgica y Herreria,Angulos,Barra de 6 m.,"38.103,30"
,ANGULOS 1.3/4X1/4,Metalúrgica y Herreria,Angulos,Barra de 6 m.,"48.723,88"
,ANGULOS 2X1/8,Metalúrgica y Herreria,Angulos,Barra de 6 m.,"30.686,36"
,ANGULOS 2X3/16,Metalúrgica y Herreria,Angulos,Barra de 6 m.,"42.741,86"
,ANGULOS 2X1/4,Metalúrgica y Herreria,Angulos,Barra de 6 m.,"54.763,65"
,ANGULOS 2X5/16,Metalúrgica y Herreria,Angulos,Barra de 6 m.,"69.329,06"
,ANGULOS 2.1/4X3/16,Metalúrgica y Herreria,Angulos,Barra de 6 m.,"49.434,24"
,ANGULOS 2.1/4X1/4,Metalúrgica y Herreria,Angulos,Barra de 6 m.,"64.301,68"
,ANGULOS 2.1/2X5/16,Metalúrgica y Herreria,Angulos,Barra de 6 m.,"140.946,94"
,ANGULOS 2.1/2X3/16,Metalúrgica y Herreria,Angulos,Barra de 6 m.,"56.315,85"
,ANGULOS 2.1/2X1/4,Metalúrgica y Herreria,Angulos,Barra de 6 m.,"71.040,65"
,ANGULOS 2.1/2X3/8,Metalúrgica y Herreria,Angulos,Barra de 6 m.,"155.462,57"
,ANGULOS 3X1/4,Metalúrgica y Herreria,Angulos,Barra de 6 m.,"107.667,45"
,PLANCHUELAS 1/2X1/8,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"4.714,68"
,PLANCHUELAS 1/2X3/16,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"6.689,64"
,PLANCHUELAS 1/2X1/4,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"8.472,01"
,PLANCHUELAS 5/8X1/8,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"5.521,67"
,PLANCHUELAS 5/8X3/16,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"7.996,32"
,PLANCHUELAS 5/8X1/4,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"10.502,58"
,PLANCHUELAS 5/8X3/8,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"21.154,80"
,PLANCHUELAS 3/4X1/8,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"6.230,17"
,PLANCHUELAS 3/4X3/16,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"8.857,47"
,PLANCHUELAS 3/4X1/4,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"11.706,95"
,PLANCHUELAS 3/4X5/16,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"14.883,35"
,PLANCHUELAS 3/4X3/8,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"17.631,41"
,PLANCHUELAS 7/8X1/8,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"7.160,45"
,PLANCHUELAS 7/8X3/16,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"10.139,05"
,PLANCHUELAS 7/8X1/4,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"14.710,42"
,PLANCHUELAS 7/8X5/16,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"18.377,92"
,PLANCHUELAS 1X1/8,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"8.633,70"
,PLANCHUELAS 1X3/16,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"12.048,17"
,PLANCHUELAS 1X1/4,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"15.649,45"
,PLANCHUELAS 1X5/16,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"20.631,07"
,PLANCHUELAS 1X3/8,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"24.199,63"
,PLANCHUELAS 1X1/2,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"32.282,51"
,PLANCHUELAS 1.1/4X1/8,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"11.095,37"
,PLANCHUELAS 1.1/4X3/16,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"14.186,70"
,PLANCHUELAS 1.1/4X1/4,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"18.647,00"
,PLANCHUELAS 1.1/4X5/16,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"25.218,93"
,PLANCHUELAS 1.1/4X3/8,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"30.256,18"
,PLANCHUELAS 1.1/4X1/2,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"40.342,93"
,PLANCHUELAS 1.1/4X5/8,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"59.331,47"
,PLANCHUELAS 1.1/4X3/4,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"125.171,39"
,PLANCHUELAS 1.1/2X1/8,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"11.852,04"
,PLANCHUELAS 1.1/2X3/16,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"16.412,84"
,PLANCHUELAS 1.1/2X1/4,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"22.621,09"
,PLANCHUELAS 1.1/2X5/16,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"28.268,26"
,PLANCHUELAS 1.1/2X3/8,Metalúrgica y Herreria,Planchuela,Barra de 6 m.,"33.926,87"
